id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
843521,Forest Hill Village Condo,4403844,Alana,,Forest Hill South,43.6898,-79.41314,Entire home/apt,141,28,108,2017-11-03,1.07,1,0,0,
850109,2rm suite (Br+Liv) Fairview Mall 15min to subway H,65479,Irene,,Pleasant View,43.77831,-79.33001,Private room,54,28,11,2018-10-10,0.38,13,188,0,
850246,Comfy bright room in Toronto @ Don Mills subway Y,65479,Irene,,Pleasant View,43.77835,-79.33015,Private room,42,28,5,2017-05-17,0.05,13,340,0,
855991,HOTEL ALTERNATIVE accommodation,4477219,Vas,,Church-Yonge Corridor,43.65474,-79.37779,Entire home/apt,78,28,11,2018-07-09,5.50,4,56,2,
864104,Chic Downtown Toronto Apartment,4451791,Kojenwa,,Palmerston-Little Italy,43.65804,-79.42726,Private room,100,28,15,2018-09-30,0.15,2,357,2,
864193,Big Room with King Bed and mattres,4534248,Nida,,Newtonbrook West,43.78345,-79.44525,Private room,83,28,0,,,1,0,0,
864479,Perfect location in Toronto!!!,4536555,Sean,,Broadview North,43.68373,-79.35744,Entire home/apt,120,28,4,2016-03-23,0.05,1,358,0,
883109,Your home in the heart of Toronto,4517569,Laurie And Martin,,Playter Estates-Danforth,43.68219,-79.35405,Entire home/apt,225,28,6,2017-09-03,0.06,1,0,0,
892352,Panoramic Views in Huge Loft. Incl. Parking & Pet Friendly.,37326356,Stephen,,Kensington-Chinatown,43.64971,-79.39624,Entire home/apt,220,28,242,2021-08-30,6.39,1,180,4,
908807,Great Danforth apt - parking & view,4871479,Jodi,,Playter Estates-Danforth,43.67705,-79.36135,Entire home/apt,174,28,68,2019-08-04,0.68,1,179,0,
921532,A Tiny Hotel - The Malibu Room,4954899,A Tiny Hotel,,Greenwood-Coxwell,43.67698,-79.32201,Private room,50,1,16,2021-12-02,3.69,3,75,16,STR-2101-HJMDVK
921746,West Downtown Toronto Cozy Home,2546728,Jeff,,South Parkdale,43.63874,-79.44386,Private room,45,29,21,2015-12-28,0.20,2,322,1,
950053,PAN AM PENTHOUSE WITH SKYLINE VIEWS,5153529,Adrian,,Regent Park,43.65794,-79.35755,Entire home/apt,160,365,10,2016-02-14,0.10,2,365,0,
954475,1 BR-Close to Yonge & Eglinton 101,1854872,Nadarajah,,Flemingdon Park,43.72054,-79.33524,Private room,45,28,28,2019-05-21,0.26,5,301,0,
